score,type,opposition,venue,city,year,label
758,Highest,West Indies,Sabina Park,Kingston,1955,vs WI 1955
735,Highest,Zimbabwe,WACA Ground,Perth,2003,vs ZIM 2003
729,Highest,England,Lord's,London,1930,vs ENG 1930
701,Highest,England,The Oval,London,1934,vs ENG 1934
695,Highest,England,The Oval,London,1930,vs ENG 1930b
36,Lowest,England,Edgbaston,Birmingham,1902,vs ENG 1902
42,Lowest,England,Sydney Cricket Ground,Sydney,1888,vs ENG 1888
44,Lowest,England,The Oval,London,1896,vs ENG 1896
47,Lowest,South Africa,Newlands,Cape Town,2011,vs SA 2011
53,Lowest,England,Lord's,London,1896,vs ENG 1896b
