captain,span,matches,won,lost,drawn,tied,win_pct
DW Gregory,1877-1879,3,2,1,0,0,66.66
WL Murdoch,1880-1890,16,5,7,4,0,31.25
TP Horan,1885-1885,2,0,2,0,0,0
HH Massie,1885-1885,1,1,0,0,0,100
JM Blackham,1885-1894,8,3,3,2,0,37.5
HJH Scott,1886-1886,3,0,3,0,0,0
PS McDonnell,1887-1888,6,1,5,0,0,16.66
G Giffen,1894-1895,4,2,2,0,0,50
GHS Trott,1896-1898,8,5,3,0,0,62.5
J Darling,1899-1905,21,7,4,10,0,33.33
H Trumble,1902-1902,2,2,0,0,0,100
MA Noble,1903-1909,15,8,5,2,0,53.33
C Hill,1910-1912,10,5,5,0,0,50
SE Gregory,1912-1912,6,2,1,3,0,33.33
WW Armstrong,1920-1921,10,8,0,2,0,80
HL Collins,1921-1926,11,5,2,4,0,45.45
W Bardsley,1926-1926,2,0,0,2,0,0
J Ryder,1928-1929,5,1,4,0,0,20
WM Woodfull,1930-1934,25,14,7,4,0,56
VY Richardson,1935-1936,5,4,0,1,0,80
DG Bradman,1936-1948,24,15,3,6,0,62.5
WA Brown,1946-1946,1,1,0,0,0,100
AL Hassett,1949-1953,24,14,4,6,0,58.33
AR Morris,1951-1954,2,0,2,0,0,0
IWG Johnson,1954-1956,17,7,5,5,0,41.17
RR Lindwall,1956-1956,1,0,0,1,0,0
ID Craig,1957-1958,5,3,0,2,0,60
R Benaud,1958-1963,28,12,4,11,1,42.85
RN Harvey,1961-1961,1,1,0,0,0,100
RB Simpson,1964-1978,39,12,12,15,0,30.76
BC Booth,1965-1966,2,0,1,1,0,0
WM Lawry,1968-1971,25,9,8,8,0,36
BN Jarman,1968-1968,1,0,0,1,0,0
IM Chappell,1971-1975,30,15,5,10,0,50
GS Chappell,1975-1983,48,21,13,14,0,43.75
GN Yallop,1978-1979,7,1,6,0,0,14.28
KJ Hughes,1979-1984,28,4,13,11,0,14.28
AR Border,1984-1994,93,32,22,38,1,34.4
MA Taylor,1994-1999,50,26,13,11,0,52
SR Waugh,1999-2004,57,41,9,7,0,71.92
AC Gilchrist,2000-2004,6,4,1,1,0,66.66
RT Ponting,2004-2010,77,48,16,13,0,62.33
MJ Clarke,2011-2015,47,24,16,7,0,51.06
SR Watson,2013-2013,1,0,1,0,0,0
SPD Smith,2014-2026,44,26,11,7,0,59.09
TD Paine,2018-2021,23,11,8,4,0,47.82
PJ Cummins,2021-2025,38,24,8,6,0,63.15
